t|1512688525854533|x|0|y|0|theta|0
t|1512688525925971|x|0|y|0|theta|0
t|1512688525998742|x|0|y|0|theta|0
t|1512688526077417|x|0|y|0|theta|0
t|1512688526150224|x|0|y|0|theta|0
t|1512688526221899|x|0|y|0|theta|0
t|1512688526294148|x|0|y|0|theta|0
t|1512688526365141|x|0|y|0|theta|0
t|1512688526437723|x|0|y|0|theta|0
t|1512688526508914|x|0|y|0|theta|0
t|1512688526580545|x|0|y|0|theta|0
t|1512688526653009|x|0|y|0|theta|0
t|1512688526725297|x|0|y|0|theta|0
t|1512688526796318|x|0|y|0|theta|0
t|1512688526876354|x|0|y|0|theta|0
t|1512688526948580|x|0|y|0|theta|0
t|1512688527019689|x|0|y|0|theta|0
t|1512688527092283|x|0|y|0|theta|0
t|1512688527163993|x|0|y|0|theta|0
t|1512688527235957|x|0|y|0|theta|0
t|1512688527308155|x|0|y|0|theta|0
t|1512688527379153|x|0|y|0|theta|0
t|1512688527451458|x|0|y|0|theta|0
t|1512688527523783|x|0|y|0|theta|0
t|1512688527594759|x|0|y|0|theta|0
t|1512688527675354|x|0|y|0|theta|0
t|1512688527746634|x|0|y|0|theta|0
t|1512688527818888|x|0|y|0|theta|0
t|1512688527893952|x|0|y|0|theta|0
t|1512688527962390|x|0|y|0|theta|0
t|1512688528034514|x|0|y|0|theta|0
t|1512688528106754|x|0|y|0|theta|0
t|1512688528178213|x|0|y|0|theta|0
t|1512688528249703|x|0|y|0|theta|0
t|1512688528322186|x|0|y|0|theta|0
t|1512688528393252|x|0|y|0|theta|0
t|1512688528473263|x|0|y|0|theta|0
t|1512688528545507|x|0|y|0|theta|0
t|1512688528617861|x|0|y|0|theta|0
t|1512688528691475|x|0|y|0|theta|0
t|1512688528760811|x|0|y|0|theta|0
t|1512688528833611|x|0|y|0|theta|0
t|1512688528904756|x|0|y|0|theta|0
t|1512688528976959|x|0|y|0|theta|0
t|1512688529052928|x|0|y|0|theta|0
t|1512688529120774|x|0|y|0|theta|0
t|1512688529192620|x|0|y|0|theta|0
t|1512688529272828|x|0|y|0|theta|0
t|1512688529343902|x|0|y|0|theta|0
